cluster,var_x,var_y,rho,p
0,18a29anos,1Baldeacao,0.03331872941511397,2.334480065203603e-88
0,18a29anos,2a5SalariosMinimos,0.9041094834533452,0.0
0,18a29anos,30a39anos,0.9632964795456823,0.0
0,18a29anos,40a49anos,0.9272529173719708,0.0
0,18a29anos,50a64anos,0.90664118793909,0.0
0,18a29anos,5a10SalariosMinimos,0.9602803324142296,0.0
0,18a29anos,AreaConstruida,0.25164050965847135,0.0
0,18a29anos,AreaOcupada,0.009016555086845502,6.991571480344389e-08
0,18a29anos,AreadaQuadra,-0.07246173353114449,0.0
0,18a29anos,Ate2SalariosMinimos,0.7144474909560563,0.0
0,18a29anos,Brasileira,0.9709110641438309,0.0
0,18a29anos,CA,0.19578638661583758,0.0
0,18a29anos,Caminhada,-0.10034156245929415,0.0
0,18a29anos,ComercioServicos,0.07345023471432986,0.0
0,18a29anos,ComercioServicos_pct,0.08393789735361175,0.0
0,18a29anos,ConcentracaoAreaVerde,-0.020660708492149342,4.577728593100928e-35
0,18a29anos,ConcentracaoBOs,0.04908893772856217,1.346887938665602e-189
0,18a29anos,ConcentracaoIES,0.019420065522047718,3.5416267456276174e-31
0,18a29anos,ConcentracaoPatrimonioHistorico,0.04660813297547209,4.21790407000721e-171
0,18a29anos,DeslocamentoBicicleta,0.06504516900776548,0.0
0,18a29anos,DeslocamentoCaminhada,-0.1380500834974315,0.0
0,18a29anos,DeslocamentoTansporteColetivo,-0.0020700529732727855,0.215808697700966
0,18a29anos,DeslocamentoVeiculoIndividual,0.03853494637806843,1.4777017710610023e-117
0,18a29anos,DestinoMotivoEducacao,-0.07727089844935715,0.0
0,18a29anos,DestinoMotivoOutros,0.12862542039272937,0.0
0,18a29anos,DestinoMotivoResidencia,-0.1308732522839454,0.0
0,18a29anos,DestinoMotivoTrabalhoComercioServico,0.14349592570548098,0.0
0,18a29anos,DestinoMotivotrabalhoindustria,0.0651232249865022,0.0
0,18a29anos,DistanciaAceleradoraIncubadora,-0.03117472344913579,1.3907151358371125e-77
0,18a29anos,DistanciaAreasVerdes,0.04975221821210838,1.0503997714973308e-194
0,18a29anos,DistanciaPatrimonioHistorico,-0.14670997631295074,0.0
0,18a29anos,DistanciaStartup,-0.2630839766179542,0.0
